P15,41,F
Heart Rate
Count;FT0;FT1;FT2;FT3;
167;0.0;0.0;0.0;0.0;
168;0.0;0.0;0.0;0.0;
169;0.0;0.0;0.0;0.0;
170;0.0;0.0;0.0;0.0;
171;0.0;0.0;0.0;0.0;
172;0.0;0.0;0.0;0.0;
173;0.0;0.0;0.0;0.0;
174;0.0;0.0;0.0;0.0;
175;0.0;0.0;0.0;0.0;
176;0.0;0.0;0.0;0.0;
177;0.0;0.0;0.0;0.0;
178;0.0;0.0;0.0;0.0;
179;0.0;0.0;0.0;0.0;
180;0.0;0.0;0.0;0.0;
181;0.0;0.0;0.0;0.0;
Steps
Count;FT0;FT1;FT2;FT3;FT4;FT5;
1;95.0;93.0;55.0;65.0;59.0;59.0;
2;190.0;188.0;143.0;152.0;136.0;136.0;
3;285.0;283.0;198.0;212.0;197.0;197.0;
4;379.0;377.0;264.0;285.0;239.0;239.0;
5;475.0;471.0;340.0;361.0;281.0;281.0;
6;582.0;580.0;370.0;376.0;354.0;354.0;
7;691.0;689.0;431.0;461.0;433.0;433.0;
8;796.0;797.0;510.0;552.0;509.0;509.0;
9;900.0;904.0;511.0;561.0;518.0;518.0;
10;992.0;1007.0;511.0;577.0;527.0;527.0;
11;1110.0;1128.0;579.0;642.0;582.0;582.0;
12;1229.0;1249.0;667.0;737.0;658.0;658.0;
13;1348.0;1372.0;729.0;801.0;722.0;722.0;
14;1467.0;1491.0;788.0;884.0;789.0;789.0;
15;1584.0;1606.0;788.0;884.0;852.0;852.0;
16;1717.0;1739.0;838.0;941.0;914.0;914.0;
17;1847.0;1871.0;967.0;1072.0;1027.0;1027.0;
18;1978.0;2001.0;1093.0;1203.0;1135.0;1135.0;
19;2109.0;2131.0;1223.0;1333.0;1266.0;1266.0;
20;2239.0;2262.0;1316.0;1434.0;1388.0;1388.0;
21;0.0;0.0;0.0;0.0;0.0;0.0;
22;0.0;0.0;0.0;0.0;0.0;0.0;
23;0.0;0.0;0.0;0.0;0.0;0.0;
24;0.0;0.0;0.0;0.0;0.0;0.0;
25;0.0;0.0;0.0;0.0;0.0;0.0;
26;0.0;0.0;0.0;0.0;0.0;0.0;
27;0.0;0.0;0.0;0.0;0.0;0.0;
28;0.0;0.0;0.0;0.0;0.0;0.0;
29;0.0;0.0;0.0;0.0;0.0;0.0;
30;0.0;0.0;0.0;0.0;0.0;0.0;
Energy expenditure
Count;FT0;FT1;FT2;FT3;FT4;FT5;
1;1.3;2.0;1.0;2.0;1.0;1.0;
2;3.9;5.0;7.0;7.0;5.0;6.0;
3;6.9;8.0;11.0;11.0;9.0;10.0;
4;10.0;11.0;15.0;15.0;13.0;13.0;
5;13.0;14.0;19.0;19.0;16.0;16.0;
6;16.15;17.0;23.0;23.0;20.0;20.0;
7;19.65;20.0;27.0;26.0;24.0;24.0;
8;23.4;24.0;31.0;30.0;28.0;28.0;
9;27.1;28.0;34.0;34.0;33.0;32.0;
10;30.95;31.0;35.0;35.0;36.0;34.0;
11;34.49999999999999;35.0;38.0;38.0;39.0;37.0;
12;38.54999999999999;40.0;43.0;43.0;43.0;41.0;
13;42.94999999999999;44.0;49.0;48.0;47.0;45.0;
14;47.44999999999999;50.0;52.0;53.0;52.0;50.0;
15;52.04999999999999;56.0;55.0;57.0;56.0;55.0;
16;56.64999999999999;62.0;58.0;60.0;61.0;60.0;
17;61.69999999999999;69.0;63.0;65.0;66.0;66.0;
18;67.14999999999999;75.0;71.0;72.0;72.0;73.0;
19;72.55;82.0;79.0;79.0;78.0;79.0;
20;77.9;89.0;88.0;85.0;85.0;86.0;
21;0.0;0.0;0.0;0.0;0.0;0.0;
22;0.0;0.0;0.0;0.0;0.0;0.0;
23;0.0;0.0;0.0;0.0;0.0;0.0;
24;0.0;0.0;0.0;0.0;0.0;0.0;
25;0.0;0.0;0.0;0.0;0.0;0.0;
26;0.0;0.0;0.0;0.0;0.0;0.0;
27;0.0;0.0;0.0;0.0;0.0;0.0;
28;0.0;0.0;0.0;0.0;0.0;0.0;
29;0.0;0.0;0.0;0.0;0.0;0.0;
30;0.0;0.0;0.0;0.0;0.0;0.0;
Distance
Count;FT0;FT1;FT2;FT3;FT4;FT5;
1;2887.0;1770.0;1010.0;1090.0;1010.0;1100.0;
