P10,33,F
Heart Rate
Count;FT0;FT1;FT2;FT3;
1;94.0;93.0;88.0;87.0;
2;119.0;93.0;88.0;86.0;
3;119.0;97.0;90.0;90.0;
4;118.0;101.0;95.0;98.0;
5;122.0;109.0;102.0;101.0;
6;125.0;117.0;111.0;108.0;
7;123.0;121.0;117.0;113.0;
8;128.0;124.0;118.0;109.0;
9;130.0;128.0;120.0;108.0;
10;129.0;128.0;123.0;107.0;
11;123.0;126.0;123.0;103.0;
12;121.0;123.0;121.0;101.0;
13;119.0;119.0;120.0;101.0;
14;118.0;118.0;120.0;101.0;
15;117.0;117.0;115.0;105.0;
16;117.0;117.0;116.0;110.0;
17;115.0;116.0;115.0;104.0;
18;118.0;117.0;113.0;102.0;
19;115.0;117.0;108.0;104.0;
20;114.0;115.0;109.0;107.0;
21;114.0;114.0;106.0;106.0;
22;111.0;113.0;104.0;107.0;
23;113.0;112.0;102.0;105.0;
24;113.0;113.0;101.0;100.0;
25;112.0;112.0;99.0;97.0;
26;112.0;112.0;99.0;89.0;
27;112.0;111.0;101.0;86.0;
28;113.0;111.0;101.0;89.0;
29;112.0;113.0;98.0;93.0;
30;109.0;112.0;98.0;89.0;
31;108.0;110.0;98.0;93.0;
32;118.0;113.0;98.0;95.0;
33;117.0;117.0;100.0;97.0;
34;117.0;116.0;100.0;101.0;
35;115.0;116.0;102.0;106.0;
36;113.0;114.0;103.0;106.0;
37;115.0;114.0;104.0;104.0;
38;114.0;114.0;104.0;107.0;
39;117.0;114.0;104.0;106.0;
40;114.0;115.0;105.0;109.0;
41;116.0;115.0;106.0;113.0;
42;120.0;116.0;104.0;116.0;
43;119.0;118.0;103.0;120.0;
44;118.0;118.0;103.0;120.0;
45;118.0;118.0;105.0;118.0;
46;118.0;118.0;103.0;125.0;
47;114.0;115.0;104.0;121.0;
48;114.0;114.0;101.0;115.0;
49;113.0;113.0;102.0;115.0;
50;114.0;112.0;102.0;120.0;
51;116.0;116.0;101.0;127.0;
52;116.0;116.0;102.0;130.0;
53;116.0;115.0;104.0;128.0;
54;115.0;116.0;104.0;127.0;
55;113.0;113.0;103.0;121.0;
56;114.0;113.0;106.0;114.0;
57;116.0;114.0;106.0;110.0;
58;118.0;115.0;101.0;112.0;
59;117.0;116.0;96.0;113.0;
60;118.0;117.0;102.0;114.0;
61;114.0;117.0;105.0;111.0;
62;127.0;117.0;109.0;112.0;
63;127.0;124.0;121.0;108.0;
64;125.0;125.0;123.0;113.0;
65;126.0;125.0;123.0;117.0;
66;119.0;125.0;115.0;114.0;
67;123.0;123.0;114.0;117.0;
68;125.0;124.0;116.0;120.0;
69;124.0;124.0;110.0;121.0;
70;123.0;125.0;104.0;120.0;
71;125.0;124.0;109.0;116.0;
72;126.0;125.0;113.0;119.0;
73;125.0;126.0;109.0;119.0;
74;124.0;125.0;103.0;121.0;
75;124.0;124.0;108.0;122.0;
76;125.0;124.0;109.0;123.0;
77;126.0;123.0;106.0;120.0;
78;128.0;126.0;114.0;121.0;
79;130.0;128.0;119.0;121.0;
80;127.0;124.0;117.0;118.0;
81;125.0;125.0;117.0;122.0;
82;123.0;124.0;119.0;123.0;
83;129.0;125.0;122.0;125.0;
84;130.0;128.0;123.0;125.0;
85;126.0;128.0;123.0;124.0;
86;123.0;124.0;120.0;125.0;
87;126.0;123.0;119.0;122.0;
88;125.0;124.0;122.0;123.0;
89;125.0;124.0;128.0;123.0;
90;126.0;125.0;125.0;120.0;
91;129.0;127.0;123.0;123.0;
92;137.0;128.0;125.0;116.0;
93;138.0;126.0;125.0;116.0;
94;135.0;126.0;122.0;120.0;
95;135.0;131.0;126.0;127.0;
96;136.0;135.0;130.0;131.0;
97;137.0;136.0;132.0;130.0;
98;135.0;136.0;130.0;128.0;
99;136.0;136.0;131.0;130.0;
100;138.0;136.0;138.0;132.0;
101;139.0;137.0;138.0;132.0;
102;136.0;137.0;146.0;135.0;
103;136.0;135.0;144.0;135.0;
104;139.0;136.0;142.0;135.0;
105;137.0;136.0;139.0;135.0;
106;140.0;138.0;140.0;132.0;
